Para Árvore Binária de Busca:
n = 277
size = 127
porra = 4

Para Árvore Rubro-Negra:
n = 277
size = 127
porra = 6
Chave: e, Valor: 122
Chave: amiguinha, Valor: 66
Chave: Sabe, Valor: 28
Chave: Gloria, Valor: 15
Chave: Ai,, Valor: 5
Chave: 'tá, Valor: 3
Chave: 'Tá, Valor: 2
Chave: Achou, Valor: 1
Chave: A, Valor: 1
Chave: Convoquei, Valor: 7
Chave: Consumida, Valor: 1
Chave: Arrebita, Valor: 1
Chave: Ela, Valor: 5
Chave: Não, Valor: 8
Chave: Ibiza, Valor: 2
Chave: IZA, Valor: 1
Chave: Groove, Valor: 2
Chave: Mundo, Valor: 6
Chave: Mandando, Valor: 1
Chave: Que, Valor: 6
Chave: Passando, Valor: 2
Chave: O, Valor: 1
Chave: Quer, Valor: 4
Chave: Vem, Valor: 15
Chave: Sem, Valor: 4
Chave: Se, Valor: 6
Chave: Tu, Valor: 3
Chave: Tamo, Valor: 6
Chave: achou, Valor: 8
Chave: acabando, Valor: 18
Chave: a, Valor: 16
Chave: Visa,, Valor: 1
Chave: acabando,, Valor: 1
Chave: ah, Valor: 4
Chave: com, Valor: 52
Chave: boa, Valor: 9
Chave: as, Valor: 5
Chave: arrasta,, Valor: 2
Chave: aqui,, Valor: 1
Chave: arrebata, Valor: 2
Chave: base,, Valor: 5
Chave: bailão, Valor: 2
Chave: beat,, Valor: 1
Chave: beat, Valor: 1
Chave: cara, Valor: 7
Chave: cachorrada, Valor: 9
Chave: brisa,, Valor: 4
Chave: boa!, Valor: 6
Chave: canalhas, Valor: 1
Chave: clima, Valor: 1
Chave: chega, Valor: 1
Chave: coisa, Valor: 13
Chave: deixa, Valor: 13
Chave: da, Valor: 9
Chave: comigo,, Valor: 4
Chave: de, Valor: 3
Chave: do, Valor: 7
Chave: disso, Valor: 1
Chave: dá, Valor: 2
Chave: dona, Valor: 1
Chave: parada, Valor: 57
Chave: manda, Valor: 15
Chave: gente, Valor: 14
Chave: fechada, Valor: 7
Chave: em, Valor: 3
Chave: ela, Valor: 2
Chave: esquina, Valor: 1
Chave: envolvente, Valor: 3
Chave: ficar, Valor: 2
Chave: festa, Valor: 1
Chave: fina, Valor: 1
Chave: limite,, Valor: 5
Chave: joga, Valor: 5
Chave: ia, Valor: 2
Chave: jogar,, Valor: 2
Chave: madrugada, Valor: 3
Chave: o, Valor: 14
Chave: na, Valor: 26
Chave: mexer, Valor: 9
Chave: meu, Valor: 1
Chave: mundo, Valor: 1
Chave: mudando, Valor: 1
Chave: não, Valor: 4
Chave: nesse, Valor: 8
Chave: nessa, Valor: 5
Chave: nem, Valor: 1
Chave: no, Valor: 2
Chave: nós, Valor: 4
Chave: ousadia?, Valor: 10
Chave: os, Valor: 3
Chave: papo, Valor: 3
Chave: vida, Valor: 29
Chave: sabe, Valor: 70
Chave: pra, Valor: 22
Chave: pode, Valor: 8
Chave: pira,, Valor: 2
Chave: pesadona, Valor: 1
Chave: pesada,, Valor: 1
Chave: pista?, Valor: 4
Chave: porra, Valor: 6
Chave: por, Valor: 1
Chave: que, Valor: 21
Chave: pronta, Valor: 7
Chave: preparada,, Valor: 4
Chave: quartel, Valor: 1
Chave: qualquer, Valor: 1
Chave: rima, Valor: 1
Chave: quebrada, Valor: 2
Chave: tu, Valor: 23
Chave: toda, Valor: 10
Chave: também, Valor: 7
Chave: sumir, Valor: 4
Chave: se, Valor: 5
Chave: tipo, Valor: 2
Chave: tropa, Valor: 8
Chave: vale,, Valor: 12
Chave: tumultuando, Valor: 2
Chave: tudo, Valor: 1
Chave: vai, Valor: 7
Chave: vem, Valor: 4
Chave: zika,, Valor: 4
Chave: vira, Valor: 4
Chave: vir, Valor: 5
Chave: visão, Valor: 1
Chave: é, Valor: 12
Chave: É, Valor: 1
Chave: ó, Valor: 1
